order,totaldegree,rcut,Vacancy formation energy
3,3,4.5,-0.5619528359111428
3,3,7.5,-10.97084250097123
3,3,10.5,0.5672722006647746
3,6,4.5,1.3160758667163464
3,6,7.5,0.47570192977173065
3,6,10.5,0.5092041108937337
3,9,4.5,2.0825711730503826
3,9,7.5,2.2158165881528475
3,9,10.5,2.195523140858313
3,12,4.5,2.4698820342518957
3,12,7.5,2.2159801032116775
3,12,10.5,2.2148012835855297
4,3,4.5,-0.5619528359047763
4,3,7.5,-10.970842500968047
4,3,10.5,0.5672722006779622
4,6,4.5,1.068717113049388
4,6,7.5,0.40127488316966264
4,6,10.5,0.4947419045074639
4,9,4.5,2.716255801805346
4,9,7.5,2.3154307565796444
4,9,10.5,2.2109361414313753
4,12,4.5,2.7734029470348105
4,12,7.5,2.680993618285356
4,12,10.5,2.742701411758844
5,3,4.5,-0.5619528358934076
5,3,7.5,-10.970842500966228
5,3,10.5,0.5672722006688673
5,6,4.5,0.997508749114786
5,6,7.5,0.3382791746253133
5,6,10.5,0.4281657843130233
5,9,4.5,2.7985493925370974
5,9,7.5,2.167507120778282
5,9,10.5,2.1641604857045422
5,12,4.5,2.585880340712265
5,12,7.5,2.8143209599024885
5,12,10.5,2.776044636802453
6,3,4.5,-0.5619528359056858
6,3,7.5,-10.970842500975323
6,3,10.5,0.5672722006734148
6,6,4.5,1.0522424617743127
6,6,7.5,0.3332928665786312
6,6,10.5,0.39247465319431285
6,9,4.5,2.7658905419125404
6,9,7.5,2.3680024317204698
6,9,10.5,2.1927137893226245
6,12,4.5,2.5489414584026235
6,12,7.5,2.7466549591599687
6,12,10.5,2.8214974823217744
